ED,JoinId,Name,Full_Name,Name1850,AltName,Left_Low,Left_High,Right_Low,Right_High,ObjectID,source,flag
12,G00000095,PARK AVE,NA,PARK AVE,NA,NA,NA,NA,NA,359,geo,IN
19,G00000096,2 AVE,NA,2 AVE,NA,NA,NA,NA,NA,360,geo,IN
12,G00000098,5 AVE,NA,5 AVE,NA,NA,NA,NA,NA,362,geo,IN
18,G00000102,E 17,NA,E 17,NA,2,22,1,21,366,geo,IN
19,G00000103,E 60,NA,E 60,NA,NA,NA,NA,NA,367,geo,IN
16,G00000104,W 15,NA,W 15,NA,186,242,185,243,368,geo,IN
15,G00000105,SHINBONE ALY,JONES ALY,SHINBONE ALY,NA,NA,NA,NA,NA,369,geo,IN
19,G00000106,E 65,NA,E 65,NA,NA,NA,NA,NA,370,geo,IN
12,G00000108,MADISON AVE,NA,MADISON AVE,NA,NA,NA,NA,NA,372,geo,IN
18,G00000110,5 AVE,NA,5 AVE,NA,NA,NA,NA,NA,374,geo,IN
16,G00000111,W 29,NA,W 29,NA,56,116,55,117,375,geo,IN
9,G00000118,GROVE,NA,GROVE,NA,49,75,48,76,381,geo,IN
19,G00000119,E 84,NA,E 84,NA,NA,NA,NA,NA,382,geo,IN
19,G00000120,C W P,NA,C W P,NA,NA,NA,NA,NA,383,geo,IN
15,G00000122,WASHINGTON E SQ,WOOSTER,WASHINGTON E SQ,NA,NA,NA,1,3,385,geo,IN
6,G00000123,CENTRE,NA,CENTRE,NA,1,11,2,12,386,geo,IN
19,G00000124,3 AVE,NA,3 AVE,NA,746,764,745,763,387,geo,IN
5,G00000125,VESTRY,NA,VESTRY,NA,49,57,50,58,388,geo,IN
19,G00000128,3 AVE,NA,3 AVE,NA,596,610,593,609,391,geo,IN
16,G00000129,W 35,NA,W 35,NA,66,72,67,73,392,geo,IN
19,G00000130,W 73,NA,W 73,NA,NA,NA,NA,NA,393,geo,IN
1,G00000132,WATER,NA,WATER,NA,98,116,97,117,395,geo,IN
18,G00000135,E 37,NA,E 37,NA,113,153,112,154,398,geo,IN
12,G00000138,AMSTERDAM AVE,NA,AMSTERDAM AVE,NA,NA,NA,NA,NA,400,geo,IN
9,G00000141,W LITTLE 12,NA,W LITTLE 12,NA,6,28,5,27,403,geo,IN
18,G00000142,3 AVE,NA,3 AVE,NA,448,466,457,473,404,geo,IN
8,G00000144,THOMPSON,NA,THOMPSON,NA,1,19,2,18,406,geo,IN
2,G00000149,WILLIAM,NA,WILLIAM,NA,143,155,142,154,411,geo,IN
19,G00000151,11 AVE,NA,11 AVE,NA,601,617,600,616,413,geo,IN
18,G00000153,E 15,NA,E 15,NA,88,110,89,111,415,geo,IN
11,G00000155,E 8,NA,E 8,NA,343,391,342,390,417,geo,IN
19,G00000156,E 46,NA,E 46,NA,398,400,397,399,418,geo,IN
12,G00000157,W 87,NA,W 87,NA,NA,NA,NA,NA,419,geo,IN
19,G00000158,BROADWAY,NA,BROADWAY,NA,1229,1257,1238,1256,420,geo,IN
18,G00000159,E 30,NA,E 30,NA,83,109,84,110,421,geo,IN
11,G00000160,E HOUSTON,NA,E HOUSTON,NA,NA,NA,91,101,422,geo,IN
19,G00000161,11 AVE,NA,11 AVE,NA,491,501,492,502,423,geo,IN
2,G00000162,WATER,NA,WATER,NA,202,222,203,221,424,geo,IN
11,G00000163,STANTON,NA,STANTON,NA,186,200,187,201,425,geo,IN
