OBJECTID,GlobalID,JoinID,State,City,Borough,StreetModern,Valid 1850,GeoCheck 1850,ST Direction 1850,ST Name 1850,Left Low 1850,Left High 1850,Right Low 1850,Right High 1850,Issue 1850,Parity Left 1850,Parity Right 1850,ST Unopened 1850,ST Name Alt 1850,HNYC St Name 1850,JoinID 1850,Valid 1880,GeoCheck 1880,ST Direction 1880,ST Name 1880,Left Low 1880,Left High 1880,Right Low 1880,Right High 1880,Issue 1880,Parity Left 1880,Parity Right 1880,ST Unopened 1880,ST Name Alt 1880,HNYC St Name 1880,JoinID 1880,Valid 1910,GeoCheck 1910,ST Direction 1910,ST Name 1910,Left Low 1910,Left High 1910,Right Low 1910,Right High 1910,Issue 1910,Parity Left 1910,Parity Right 1910,ST Unopened 1910,ST Name Alt 1910,HNYC Street Name 1910,JoinID 1910,Shape__Length,CreationDate,Creator,EditDate,Editor,Shape__Length_2,CreationDate,Creator,EditDate,Editor,Issue_General,Ward Right 1850,ED Left 1880,ED Right 1880,ED Left 1910,ED Right 1910,Ward Left 1850
32,b96bc445-c401-4692-ade9-19023bc9f533,G00010032,NY,New York,Manhattan,,1,1,,,109,111,108,114,,,,,,,,1,1,,BROADWAY,111,113,108,112,,,,,,BROADWAY,,0,1,,,,,,,,,,,,,,90.9061005564245,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:03:48 PM,amv2173_columbia,90.906096561786,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:12 PM,hnyc_columbia,,1,8,9,,,1
33,f0966e11-3cf9-4538-941b-c5a598bcc41f,G00010033,NY,New York,Manhattan,,1,1,,,113,119,116,124,,,,,,,,1,1,,BROADWAY,115,129,114,124,,,,,,BROADWAY,,0,1,,,,,,,,,,,,,,120.424769262734,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 2:39:53 AM,amv2173_columbia,120.424763961865,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:12 PM,hnyc_columbia,,1,8,9,,,1
35,8f2dd45e-f577-4027-a3c2-6359595200c4,G00010035,NY,New York,Manhattan,,1,1,,,239,249,,,,M,,,,,,1,1,,BROADWAY,239,249,,,,,,,,BROADWAY,,0,1,,,,,,,,,,,,,,226.310707404776,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:04:37 PM,amv2173_columbia,226.310697443404,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:12 PM,hnyc_columbia,,6,14,0,,,3
36,f5bbe88a-249a-4c27-81fe-7c76d270964b,G00010036,NY,New York,Manhattan,,0,1,,,,,,,,,,,,,,1,1,,DUANE ST,36,60,39,59,,,,,,DUANE ST,,0,1,,,,,,,,,,,,,,305.743452773598,7/10/2019 11:07:10 PM,dpm2159_columbia,7/11/2019 1:02:11 AM,amv2173_columbia,305.74343930445,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:12 PM,hnyc_columbia,,6,38,38,,,6
37,dff1b265-ed36-4728-8281-8ab818444d9e,G00010037,NY,New York,Manhattan,,1,1,,PEARL ST,513,533,514,534,,,,,,,,1,1,,PEARL ST,513,535,514,534,,,,,,PEARL ST,,0,1,,,,,,,,,,,,,,320.999908111218,7/10/2019 11:07:10 PM,dpm2159_columbia,7/11/2019 4:50:26 AM,amv2173_columbia,320.999893970456,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:12 PM,hnyc_columbia,,6,38,38,,,6
38,f9b5c2e3-8ffd-41ef-ae28-ebc6181b9a13,G00010038,NY,New York,Manhattan,,1,1,,THOMPSON ST,21,49,20,44,,,,,,,,1,1,,THOMPSON ST,21,47,22,48,,,,,,THOMPSON ST,,0,1,,,,,,,,,,,,,,417.307038372129,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:07:02 PM,amv2173_columbia,417.307019994704,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:13 PM,hnyc_columbia,,8,121,121,,,8
39,c0142d00-8f06-4d48-9810-a921b8131f1b,G00010039,NY,New York,Manhattan,,1,1,,ELM ST,178,214,181,213,,,,,,,,1,1,,ELM ST,176,210,177,209,,,,,,ELM ST,,0,1,,,,,,,,,,,,,,539.971213529825,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 6:55:36 PM,amv2173_columbia,539.971189760816,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:13 PM,hnyc_columbia,,14,53,53,,,14
40,3d08fbff-fd1c-47a2-bb6c-250354425528,G00010040,NY,New York,Manhattan,,1,1,,MARION ST,2,32,1,33,,,,,,,,1,1,,MARION ST,2,38,1,39,,,,,,MARION ST,,0,1,,,,,,,,,,,,,,553.981872462091,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 6:55:37 PM,amv2173_columbia,553.981848083658,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:13 PM,hnyc_columbia,,14,53,54,,,14
41,ef9b790a-9fe7-4570-b742-5e2bc083d53f,G00010041,NY,New York,Manhattan,,1,1,,,179,213,178,212,,,,,,,,1,1,,MULBERRY ST,177,211,178,210,,,,,,MULBERRY ST,,0,1,,,,,,,,,,,,,,550.399726069748,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 6:55:38 PM,amv2173_columbia,550.399826354654,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:13 PM,hnyc_columbia,,14,54,55,,,14
42,1c20be0d-6679-49bb-8dc5-b49ccfac383f,G00010042,NY,New York,Manhattan,,1,1,,,175,205,174,206,,,,,,,,1,1,,MOTT ST,171,205,172,206,,,,,,MOTT ST,,0,1,,,,,,,,,,,,,,547.229276446258,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 6:55:38 PM,amv2173_columbia,547.229691119285,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:13 PM,hnyc_columbia,,14,55,56,,,14
43,e9898121-aea1-4b04-8e6d-d2745b5b4638,G00010043,NY,New York,Manhattan,,1,1,,,125,157,124,156,,,,,,,,1,1,,ELIZABETH ST,129,163,130,164,,,,,,ELIZABETH ST,,0,1,,,,,,,,,,,,,,547.121653777567,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 6:55:39 PM,amv2173_columbia,547.122146546847,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:14 PM,hnyc_columbia,,14,56,57,,,14
44,41d740dd-30c4-4a99-81a9-cc7713115ada,G00010044,NY,New York,Manhattan,,1,1,,MARION ST,74,88,75,89,,,,,,,,1,1,,ELM ST,80,90,79,89,,,,,,ELM ST,,0,1,,,,,,,,,,,,,,213.328367086736,7/10/2019 11:07:10 PM,dpm2159_columbia,7/12/2019 7:07:14 PM,amv2173_columbia,213.328357690057,7/22/2019 5:22:52 PM,hnyc_columbia,7/15/2020 5:48:14 PM,hnyc_columbia,,14,63,63,,,14
