ED,St1,St2,St3,St4,St5,St6,St7,St8,St9,St10,St11,St12,St13,St14,St15,St16,St17,St18,St19,St20,St21,St22,St23,St24,St25,St26,St27,St28,St29,St30,St31,St32,St33,St34,St35,St36,St37,St38,St39,St40,St41,St42,St43,St44,St45,St46,St47,St48
178,BROADWAY,BUSHWICK AVE,CENTRAL AVE,CHARLES PL,CYPRESS AVE,DITMARS AVE,EVERGREEN AVE,IRVING AVE,KNICKERBOCKER AVE,MYRTLE AVE,SAINT NICHOLASS AVE,STARR,SUYDAM,TROUTMAN,WILLOUGHBY AVE,WILSON AVE,WYCKOFF AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,ABERDEEN,BROADWAY,BUSHWICK AVE,CENTRAL AVE,CHAUNCEY,CONWAY,COOPER,CORNELIA,COVERT,DE SALES PL,DECATUR,E MARGINAL,EAST PKWY,ELDERT,EVERGREEN AVE,FANCHON PL,FURMAN AVE,GRANITE,HALSEY,HANCOCK,HIGHLAND BLVD,IRVING AVE,JEFFERSON AVE,KNICKERBOCKER AVE,MADISON,MOFFAT,PILLING,PUTNAM AVE,SCHAEFER,STEWART,VANDERVEER,W MARGINAL,WEIRFIELD,WILSON AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,BLEECKER,BROADWAY,BUSHWICK AVE,CENTRAL AVE,EVERGREEN AVE,GATES AVE,GOODWIN PL,GREENE AVE,GROVE,HARMAN,HIMROD,HOWARD AVE,IRVING AVE,KNICKERBOCKER AVE,KOSCIUSZKO,KOSSUTH PL,LAFAYETTE AVE,LINDEN,MADISON,MENAHAN,MONROE,MYRTLE AVE,PALMETTO,SAINT NICHOLASS AVE,STANHOPE,STOCKHOLM,VAN BUREN,WILSON AVE,WOODBINE,WYCKOFF AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,BARTLETT,BROADWAY,FLUSHING AVE,GERRY,HARRISON AVE,MARCY AVE,THORNTON,THROOP AVE,WALLABOUT,WHIPPLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,BEDFORD AVE,BROADWAY,FLUSHING AVE,HARRISON AVE,LEE AVE,LORIMER,MARCY AVE,MIDDLETON,THROOP AVE,WALLABOUT,WALTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,BEDFORD AVE,BROADWAY,FLUSHING AVE,FRANKLIN AVE,HARRISON AVE,HEYWARD,LEE AVE,LYNCH,MARCY AVE,MIDDLETON,RUTLEDGE AVE,THROOP AVE,WALLABOUT,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,BEDFORD AVE,BROADWAY,HARRISON AVE,HEWES,LEE AVE,MARCY AVE,PENN,RUTLEDGE AVE,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,BEDFORD AVE,BROADWAY,DIVISION AVE,HARRISON AVE,HEWES,HOOPER,KEAP,LEE AVE,MARCY AVE,PENN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,BEDFORD AVE,BROADWAY,DIVISION AVE,KEAP,LEE AVE,MARCY AVE,RODNEY,ROSS,S 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,BEDFORD AVE,DIVISION AVE,DRIGGS AVE,HAVEMEYER,LEE AVE,MARCY AVE,ROEBLING,ROSS,S 9,TAYLOR,WILSON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,BEDFORD AVE,BERRY,CLYMER,DIVISION AVE,LEE AVE,MORTON,RUSH,S 11,TAYLOR,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,BEDFORD AVE,HEWES,HOOPER,KEAP,RODNEY,ROSS,WILSON,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,FLUSHING AVE,FRANKLIN AVE,HEWES,HEYWARD,HOOPER,KEAP,KENT AVE,PENN,RODNEY,ROSS,RUTLEDGE AVE,TAYLOR,WALLABOUT,WASHINGTON AVE,WILSON,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,BEDFORD AVE,CLYMER,DIVISION AVE,KENT AVE,MORTON,RUSH,TAYLOR,WILSON,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,CUMBERLAND,FLUSHING AVE,MYRTLE AVE,N OXFORD,N PORTLAND AVE,PARK AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,CARLTON AVE,CUMBERLAND,FLUSHING AVE,PARK AVE,WASHINGTON PARK,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,ADELPHI,CARLTON AVE,FLUSHING AVE,MYRTLE AVE,PARK AVE,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,ADELPHI,CLERMONT AVE,FLUSHING AVE,MYRTLE AVE,PARK AVE,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,CLERMONT AVE,FLUSHING AVE,MYRTLE AVE,PARK AVE,VANDERBILT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,CLINTON AVE,FLUSHING AVE,MYRTLE AVE,PARK AVE,VANDERBILT AVE,WASHINGTON AVE,WAVERLY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,CLERMONT AVE,CLINTON AVE,DE KALB AVE,MYRTLE AVE,VANDERBILT AVE,WASHINGTON AVE,WAVERLY AVE,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,ADELPHI,CARLTON AVE,CLERMONT AVE,DE KALB AVE,WASHINGTON PARK,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,ADELPHI,CARLTON AVE,CLERMONT AVE,CLINTON AVE,CUMBERLAND,DE KALB AVE,LAFAYETTE AVE,VANDERBILT AVE,WASHINGTON AVE,WAVERLY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,CUMBERLAND,DE KALB AVE,FULTON,HANSON PL,LAFAYETTE AVE,S OXFORD,S PORTLAND AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,CARLTON AVE,CUMBERLAND,FULTON,GREENE AVE,HANSON PL,LAFAYETTE AVE,S OXFORD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,ADELPHI,CARLTON AVE,CLERMONT AVE,CUMBERLAND,FULTON,GREENE AVE,LAFAYETTE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,ADELPHI,CLERMONT AVE,CLINTON AVE,FULTON,GATES AVE,VANDERBILT AVE,WASHINGTON AVE,WAVERLY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,CLERMONT AVE,CLINTON AVE,FULTON,GATES AVE,GREENE AVE,LAFAYETTE AVE,VANDERBILT AVE,WASHINGTON AVE,WAVERLY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,BROADWAY,DE KALB AVE,GARVEY BLVD,HART,LEWIS AVE,MALCOLM X BLVD,MYRTLE AVE,PULASKI,STOCKTON,STUYVESANT AVE,VERNON AVE,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,BROADWAY,DE KALB AVE,GARVEY BLVD,KOSCIUSZKO,KOSSUTH PL,LAFAYETTE AVE,LEWIS AVE,MALCOLM X BLVD,PATCHEN AVE,STUYVESANT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,GARVEY BLVD,LEWIS AVE,MYRTLE AVE,THROOP AVE,TOMPKINS AVE,VERNON AVE,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,DE KALB AVE,GARVEY BLVD,HART,KOSCIUSZKO,LAFAYETTE AVE,LEWIS AVE,PULASKI,THROOP AVE,TOMPKINS AVE,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,DE KALB AVE,HART,MARCY AVE,NOSTRAND AVE,PULASKI,TOMPKINS AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
