street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,OBJECTID,JoinID,Name
9 AVE,9 AVE,NA,583,603,582,600,1350,1349,561,G00000302,9 AVE
C W P,CENTRAL PARK WEST,NA,81,90,NA,NA,1311,1290,562,G00000303,CENTRAL PARK WEST
W END AVE,W END AVE,NA,381,397,NA,NA,1392,1392,563,G00000304,W END AVE
5 AVE,5 AVE,NA,NA,NA,789,799,1181,1163,564,G00000305,5 AVE
FORSYTH,FORSYTH,NA,193,223,194,218,887,890,565,G00000306,FORSYTH
F DOUGLASS BLVD,8 AVE,NA,2741,2755,2750,2766,661,514,566,G00000307,8 AVE
W 56,W 56,NA,200,220,201,221,1288,1287,567,G00000308,W 56
W 165,W 165,NA,NA,NA,NA,NA,685,685,568,G00000309,W 165
7 AVE,7 AVE,NA,186,206,189,207,839,834,569,G00000310,7 AVE
E 110,E 110,NA,49,87,52,90,457,459,570,G00000311,E 110
W 127,W 127,NA,2,86,1,85,496,496,571,G00000312,W 127
FORSYTH,FORSYTH,NA,111,129,112,130,202,205,572,G00000313,FORSYTH
E 72,E 72,NA,NA,NA,NA,NA,1146,1147,573,G00000314,E 72
LAFAYETTE,LAFAYETTE,NA,70,84,NA,NA,38,38,574,G00000315,LAFAYETTE
W 67,W 67,NA,120,150,121,149,1310,1309,575,G00000316,W 67
YORK AVE,AVE A,NA,1209,1231,1214,1232,1727,1727,576,G00000317,AVE A
W 130,W 130,NA,300,304,301,305,643,646,577,G00000318,W 130
2 AVE,2 AVE,NA,601,621,602,620,1246,1245,578,G00000319,2 AVE
E 80,E 80,NA,401,451,400,438,1027,1026,579,G00000320,E 80
CHRYSTIE,CHRYSTIE,NA,147,177,146,178,200,201,580,G00000321,CHRYSTIE
W 114,W 114,NA,400,424,401,425,622,624,581,G00000322,W 114
E 131,E 131,NA,NA,NA,NA,NA,426,426,582,G00000323,E 131
W END AVE,W END AVE,NA,221,239,220,240,1385,1385,583,G00000324,W END AVE
ELLWOOD,ELLWOOD,NA,NA,NA,NA,NA,671,671,584,G00000325,ELLWOOD
W 54,W 54,NA,200,214,201,215,1282,1289,585,G00000326,W 54
E 85,E 85,NA,301,355,300,354,375,377,586,G00000327,E 85
6 AVE,6 AVE,NA,307,319,304,318,835,990,587,G00000328,6 AVE
