ED,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72
965,city limits,Dresden,Etna,Force Tube Ave,Fulton,Hale Ave,Highland Pl,Jamaica Ave,Logan,Norwood Ave,Ridgewood Ave,US National Cemetery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
966,city limits,Clinton Pl,Cox Pl,Crescent,Etna,Euclid Ave,Fresh Pond Rd,Gramercy Pl,Jamaica Ave,Jardine Pl,Kill\'s Path,Logan,Richmond,Wharton Pl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
967,city limits,Crescent,Danforth,Etna,Grant Ave,Griffin Pl,Hegeman Ave,Jamaica Ave,Liberty Pl,Lincoln Ave,Nichols Ave,O\'Brien Pl,Railroad Ave,Ridgewood Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
968,Chestnut,Crescent,Etna,Euclid Ave,Kings Highway,Logan,Pine,Richmond,Ridgewood Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
969,Chestnut,Crescent,Euclid Ave,Fulton,Hemlock,Ivy,Logan,Pine,Richmond,Ridgewood Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
970,Adler Pl,Aitken Pl,Atlantic Ave,Campus Pl,city limits,Crescent,Dumont Ave,Elderts Ln,Enfield,Etna,Fulton,Grant Ave,Hegeman Ave,Hemlock,Ivy,Karweg Pl,Liberty Pl,Lincoln Ave,Nichols Ave,O\'Brien Pl,Railroad Ave,Ridgewood Ave,Sheridan Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
971,Adams,Atlantic Ave,city limits,Crescent,Fulton,Glen,Grant Ave,Hegeman Ave,Hemlock,Lincoln Ave,Magenta,McKinley Ave,Nichols Ave,Railroad Ave,Sheridan Ave,Unity Ave,Weirfield,Weldon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
972,Atlantic Ave,Chestnut,Conduit Ave,Crescent,Dinsmore Pl,Euclid Ave,Force Tube Ave,Fulton,Glen,Logan,Pine,Proposed St,Richmond,Sentinel Pl,Unity Ave,Weirfield,Weldon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
973,Albemarle Rd,Arlington Ave,Atkins Ave,Atlantic Ave,Butler,Dresden,Force Tube Ave,Fulton,Hale Ave,Hatton Pl,Highland Pl,Logan,Norwood Ave,Ridgewood Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
974,Atkins Ave,Atlantic Ave,Berriman,Fountain Ave,Glenmore Ave,Liberty Ave,Logan,Milford,Montauk Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
975,Atlantic Ave,Chestnut,Conduit Ave,Crescent,Crystal,Doscher,Euclid Ave,Fountain Ave,Glenmore Ave,Hegeman Ave,Hemlock,Hill,Liberty Ave,Magenta,Pine,Railroad Ave,Weirfield,Weldon,Wells,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
976,Adams,city limits,Drew Ave,Elderts Ln,Enfield,Forbell Ave,Glenmore Ave,Grant Ave,Liberty Ave,Lincoln Ave,Magenta,McKinley Ave,Railroad Ave,Sheridan Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
977,Berriman,Fountain Ave,Glenmore Ave,Liberty Ave,Logan,Milford,Montauk Ave,Pitkin Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
978,Belmont Ave,Berriman,Fountain Ave,Logan,Milford,Montauk Ave,Pitkin Ave,Sutter Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
979,Atkins Ave,Belmont Ave,Berriman,Blake Ave,Fountain Ave,Logan,Milford,Montauk Ave,Sutter Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980,Belmont Ave,Blake Ave,Chestnut,Crescent,Crystal,Doscher,Dumont Ave,Euclid Ave,Fountain Ave,Glenmore Ave,Hegeman Ave,Hemlock,Holly,Kaufman Pl,Pine,Pitkin Ave,Railroad Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
981,Amber,Belmont Ave,Blake Ave,city limits,Conduit Ave,Drew Ave,Dumont Ave,Emerald,Glenmore Ave,Grant Ave,Hegeman Ave,Lincoln Ave,Pitkin Ave,Railroad Ave,Ruby,Ruppert Rd,Sapphire,Sasafras,Sheridan Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
982,Amber,Badger,Betts Creek,city limits,Cozine Ave,Cranston Ave,Crescent,Dumont Ave,Early Ave,Emerald,Euclid Ave,Fairfield Ave,Fountain Ave,Fountain Pl,Grant Ave,Hegeman Ave,Hinsdale,Jamaica Bay,Josley Ave,Lincoln Ave,Logan,Maynard Ave,Morris Ave,Old Mill Rd,Pelham Ave,Phoenix Ave,Pine,Plum,Primrose Ave,Railroad Ave,Ridgedale Ave,Ruby,Ruppert Rd,Sapphire,Sasafras,Speedwell Ave,Stanley Ave,Stoddard Ave,Sussex Ave,Tinton Ave,Torborg Pl,Vienna Ave,Western Ave,Whalen Ave,Wortman Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
983,Atkins Ave,Berriman,Betts Creek,Blake Ave,Cozine Ave,Dumont Ave,Essex,Euclid Ave,Fairfield Ave,Fountain Ave,Fountain Pl,Hegeman Ave,Jamaica Bay,Josley Ave,Logan,Marsh Ave,Maynard Ave,Meadow,Montauk Ave,New Lots Rd,Pine,Primrose Ave,Ridgedale Ave,Shepherd Ave,Speedwell Ave,Stanley Ave,Torborg Pl,Vienna Ave,Western Ave,Wortman Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
984,Ashford,Cleveland,Cozine Ave,Elton,Essex,Fairfield Ave,Gerald Ave,Hegeman Ave,Jamaica Bay,Jerome,Linwood,Marsh Ave,Meadow,Schenck Ave,Stanley Ave,Vienna Ave,Warwick,Woodland Ave,Wortman Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
985,Alabama Ave,Bradford,Cozine Ave,Fairfield Ave,Fullerton Ave,Gaynor Ave,Hegeman Ave,Hendrix,Jamaica Bay,Miller Ave,Mississippi Ave,New Jersey Ave,Pennsylvania Ave,Schenck Ave,Sheffield Ave,Stanley Ave,Van Sicklen Ave,Van Voorhies Ave,Vandalia Ave,Vermont,Vienna Ave,Woodland Ave,Wortman Ave,Wyona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
986,107th St E,Anna Ct,Bank,Budd Ave,Christopher Ave,Cozine Ave,Fairfield Ave,Fresh Creek,Fullerton Ave,Gaynor Ave,Georgia Ave,Hegeman Ave,Hinsdale,Junius,Louisiana Ave,Malta,Mississippi Ave,Pennsylvania Ave,Powell,Sackman,Snediker Ave,Spoffard Ave,Stanley Ave,Stone Ave,Stringham Ave,Van Sinderen Ave,Van Voorhies Ave,Vandalia 10th,Vandalia 1st,Vandalia 2nd,Vandalia 3rd,Vandalia 4th,Vandalia 5th,Vandalia 6th,Vandalia 7th,Vandalia 8th,Vandalia 9th,Vandalia Ave,Vienna Ave,Warehouse Ave,Will Pl,Williams Ave,Wortman Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
987,100th St E,101st St E,102nd St E,103rd St E,104th St E,105th St E,106th St E,107th St E,108th St E,109th St E,91st St E,92nd St E,93rd St E,94th St E,95th St E,96th St E,98th St E,99th St E,A Ave,Amboy,Ames La,Anna Ct,Baisley\'s Lane,Bedell Lane,Bristol,Canarsie Ln,Chester,Conklin Ave,D Ave,Davis Lane,Ditmas Ave,Durland Pl,Flatlands Ave,Foster Ave,Hegeman Ave,Hopkinson Ave,J Ave,Junius,Krier Pl,Louisiana Ave,Main Rd,Mill Rd,New Lots Rd,Nolan\'s Lane,Old Carnarsie Rd,Osborn,Remsen Ave,Rockaway Ave,Rockaway Pkwy,Rose,School Ln,Skidmore Ln,Smith Ln,Snediker Ave,Spoffard Ave,Stone Ave,Thatford Ave,Tieman\'s Lane,Turnbull Ave,Van Houten\'s Lane,Van Sinderen Ave,Vienna Ave,Watkins,Williams Ave,Wortman Ave,NA,NA,NA,NA,NA,NA,NA
988,100th St E,101st St E,102nd St E,103rd St E,104th St E,105th St E,106th St E,107th St E,108th St E,109th St E,92nd St E,93rd St E,94th St E,95th St E,96th St E,98th St E,99th St E,Flatlands 10th,Flatlands 1st,Flatlands 2nd,Flatlands 3rd,Flatlands 4th,Flatlands 5th,Flatlands 6th,Flatlands 7th,Flatlands 8th,Flatlands 9th,Fresh Creek,Holmes Ln,J Ave,Jamaica Bay,Main Rd,Marshall\'s Lane,Mill Rd,Rockaway Ave,Rockaway Pkwy,Rost Pl,Schenck Ave,Seaview Ave,Skidmore Ave,Skidmore Ln,Tieman\'s Lane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
989,77th St E,79th St E,81st St E,82nd St E,83rd St E,84th St E,85th St E,86th St E,87th St E,88th St E,89th St E,91st St E,92nd St E,94th St E,Byrne Pl,Canarsie Beach Pk,Denton Ave,J Ave,Jamaica Bay,Meadow Lane,Paerdegat 10th,Paerdegat 11th,Paerdegat 12th,Paerdegat 13th,Paerdegat 14th,Paerdegat 15th,Paerdegat 1st,Paerdegat 2nd,Paerdegat 3rd,Paerdegat 4th,Paerdegat 5th,Paerdegat 6th,Paerdegat 7th,Paerdegat 8th,Paerdegat 9th,Paerdegat Basin,Remsen Ave,Rockaway Ave,Schenck Ave,Seaview Ave,Skidmore Ave,Stillwell Lane,Swan Ct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990,54th St E,55th St E,56th St E,57th St E,58th St E,59th St E,76th St E,77th St E,78th St E,79th St E,81st St E,82nd St E,83rd St E,84th St E,85th St E,86th St E,87th St E,88th St E,89th St E,Bedell Lane,Beverly Rd,Branton,Canarsie Ln,Church Ave,Clarendon Rd,Coventry Rd,D Ave,Davis Lane,Ditmas Ave,Dorset,Foster Ave,Grant,J Ave,Kings Highway,Kouwenhoven Pl,Paerdegat Ave,Paerdegat Basin,Preston Ct,Remsen Ave,Smith Ln,Snyder Ave,Tilden Ave,Verandah Pl,Vernon Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
991,46th St E,48th St E,51st St E,52nd St E,53rd St E,54th St E,Beverly Rd,Canarsie Ln,Church Ave,Clarendon Rd,Cortelyou Rd,Grant,Schenectady Ave,Snyder Ave,Suydam Lane,Tilden Ave,Utica Ave,Vernon Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
992,34th St E,35th St E,37th St E,38th St E,40th St E,42nd St E,43rd St E,44th St E,45th St E,46th St E,Albany Ave,Beverly Rd,Brooklyn Ave,Canarsie Ln,Church Ave,Clarendon Rd,Cortelyou Rd,Grant,Holy Cross Cemetery N Boundary,New York Ave,Snyder Ave,Tilden Ave,Vernon Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
993,28th St E,29th St E,31st St E,32nd St E,Church Ave,Erasmus,Grant,Lawrence,Lloyd,Locust,New York Ave,Rogers Ave,Snyder Ave,Tilden Ave,Vernon Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994,28th St E,29th St E,31st St E,32nd St E,34th St E,35th St E,37th St E,38th St E,40th St E,42nd St E,47th St E,Albany Ave,Brooklyn Ave,Clarendon Rd,D Ave,Ditmas Ave,New York Ave,Nostrand Ave,Rogers Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
995,42nd St E,43rd St E,44th St E,45th St E,46th St E,48th St E,49th St E,51st St E,52nd St E,53rd St E,54th St E,Clarendon Rd,D Ave,Ditmas Ave,Folger Pl,Foster Ave,Kings Highway,Kouwenhoven Pl,Paerdegat Basin,Preston Ct,Schenectady Ave,Suydam Lane,Troy Ave,Utica Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
996,39th St E,40th St E,42nd St E,43rd St E,44th St E,45th St E,46th St E,Albany Ave,Farragut Rd,Glendale Ct,H Ave,I Ave,Paerdegat Basin,Schenectady Ave,Troy Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
997,34th St E,35th St E,37th St E,38th St E,39th St E,Brooklyn Ave,Farragut Rd,Glenwood Rd,I Ave,New York Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
998,25th St E,28th St E,29th St E,31st St E,32nd St E,Baisley\'s Lane,Denton Ave,Farragut Rd,Flatbush Ave,Foster Ave,Glenwood Rd,New York Ave,Nostrand Ave,Paerdegat Basin,Rogers Ave,Woodlawn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999,34th St E,35th St E,37th St E,38th St E,39th St E,40th St E,41st St E,42nd St E,43rd St E,44th St E,45th St E,46th St E,48th St E,49th St E,51st St E,52nd St E,53rd St E,55th St E,56th St E,57th St E,58th St E,59th St E,Albany Ave,Alton Pl,Brooklyn Ave,Flatbush Ave,Flatlands Ave,H Ave,Hubbard Pl,I Ave,Kings Highway,Kouwenhoven Pl,Lott Pl,Mill Rd,Overbaugh Pl,Paerdegat Basin,Schenectady Ave,Troy Ave,Utica Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000,44th St E,45th St E,46th St E,48th St E,49th St E,51st St E,52nd St E,53rd St E,55th St E,56th St E,57th St E,58th St E,59th St E,60th St E,61st St E,62nd St E,63rd,63rd St E,64th St E,65th St E,66th St E,67th St E,69th St E,70th St E,71st St E,72nd St E,73rd St E,74th St E,75th St E,Appoline Ct,Baughman Pl,Bergen 10th,Bergen 11th,Bergen 12th,Bergen 13th,Bergen 14th,Bergen 15th,Bergen 1st,Bergen 2nd,Bergen 3rd,Bergen 4th,Bergen 5th,Bergen 6th,Bergen 7th,Bergen 8th,Bergen 9th,Bergen Ave,Bough Man Pl,Brenda Ct,Bulkhead line,C Ave,Celestial Ct,Damask Ct,Esplanade,Flatbush Ave,Flatlands Ave,Island Ave,Jamaica Bay,La France Ct,Mill Ave,Mill Lane,Mill Rd,Paerdegat Basin,Pearson,Perry Pl,Ralph,Royce,Schenectady Ave,Strickland Ave,Trinity,Troy Ave,Utica Ave
1001,25th St E,26th St E,27th St E,28th St E,29th St E,30th St E,31st St E,32nd St E,33rd St E,34th St E,35th St E,36th St E,37th St E,37th St W,38th St E,48th St E,49th St E,51st St E,52nd St E,53rd St E,55th St E,56th St E,57th St E,58th St E,59th St E,60th St E,Allen Ave,Amersfort Ave,Barren Island,Bedford Ave,Brooklyn Marine Park,Bulkhead line,Burnett,Coleman,Fillmore Ave,Flatbush Ave,Flatlands Ave,Gerritsen Ave,Hendrickson,Kimball,Madison Pl,Marine Pkwy,Marsh,Nobson Lane,Nostrand Ave,O Ave,Perry Ave,Perry Pl,Q Ave,Quentin Rd,Ralph,Ryder,Ryder La,Stuart,Trinity,Utica Ave,Whitney Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,52nd St E,53rd St E,55th St E,57th St E,64th St E,65th St E,66th St E,68th St E,Atlantic Ocean,Barren Island,Bassett Ave,Bulkhead line,Coleman,Dead Horse Inlet,Gerritsen Creek,Hendrickson,Jamaica Bay,McMullen Ave,Perry Ave,Strickland Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,Allen Ave,Batchelder,Bragg,Brigham,Brown,Bulkhead line,Burner,C Ave,Coyle,Dead Horse Inlet,Emmons Ave,Gerritsen Ave,Gerritsen Creek,Harkness Ave,Knapp,Plumb 1st,Plumb 2nd,Plumb 3rd,Sheepshead Bay,Voorhies Ave,Voorhies Ln,W Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,22nd St E,23rd St E,24th St E,25th St E,26th St E,27th St E,28th St E,29th St E,Anthony,Batchelder,Bedford Ave,Bradley Ave,Delamere Pl,Dooley,Elmore Pl,Emmons Ave,Gravesend Neck Rd,Haring,Harkness Ave,Jerome Ave,Kenmore Pl,Leonard Ave,Mansfield Pl,Nostrand Ave,Ocean Ave,V Ave,Voorhies Ave,W Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,27th St E,28th St E,29th St E,Batchelder,Bragg,Brigham,Brown,C Ave,Coyle,Flatlands Neck Rd,Gerritsen Ave,Gravesend Neck Rd,Harbor View Ter,Haring,Knapp,Nostrand Ave,Plumb 1st,Plumb 2nd,Q Ave,Quentin Rd,T Ave,V Ave,Whitney Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,12th St E,13th St E,14th St E,15th St E,16th St E,17th St E,18th St E,19th St E,21st St E,22nd St E,23rd St E,24th St E,25th St E,26th St E,27th St E,28th St E,29th St E,Bedford Ave,Coney Island Ave,Delamere Pl,Elmore Pl,Gravesend Neck Rd,Haring,Homecrest Ave,Kenmore Pl,Mansfield Pl,Ocean Ave,Orchard Ave,P Ave,Quentin Rd,Rugby Rd,T Ave,V Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,12th St E,13th St E,14th St E,15th St E,16th St E,17th St E,18th St E,19th St E,21st St E,22nd St E,23rd St E,24th St E,25th St E,26th St E,28th St E,Bay Ave,Bedford Ave,Coney Island Ave,Delamere Pl,Elmore Pl,Kenmore Pl,Kings Highway,Mansfield Pl,N Ave,O Ave,Ocean Ave,Q Ave,Quentin Rd,R Ave,Rugby Rd,Ryder La,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
