ED,Name,Min,Max
62,MARKET,9,22
62,PIKE,8,24
63,DIVISION,NA,NA
63,E BROADWAY,NA,NA
63,ELDRIDGE,NA,NA
63,MARKET,1,8
63,PIKE,1,8
64,CANAL,NA,NA
64,DIVISION,NA,NA
64,E BROADWAY,118,162
64,NULL,NA,NA
64,PIKE,1,8
64,RUTGERS,NA,NA
65,E BROADWAY,118,162
65,HENRY,103,145
65,PIKE,8,24
65,RUTGERS,5,18
66,HENRY,103,145
66,MADISON,NA,NA
66,PIKE,NA,NA
66,RUTGERS,NA,NA
67,MADISON,157,200
67,MONROE,NA,NA
67,PIKE,NA,NA
67,RUTGERS,33,50
68,CHERRY,229,250
68,MONROE,98,119
68,PELHAM,1,22
68,RUTGERS,47,68
69,CHERRY,200,228
69,MONROE,79,97
69,PELHAM,1,22
69,PIKE,59,69
70,CHERRY,200,250
70,EAST RIVER,NA,NA
70,NULL,NA,NA
70,PIER 34,NA,NA
70,PIERS,NA,NA
70,PIKE,NA,NA
70,PIKE SLIP,NA,NA
70,RUTGERS,NA,NA
70,RUTGERS PARK,NA,NA
70,RUTGERS SL,NA,NA
70,RUTGERS SLIP,NA,NA
70,SOUTH,NA,NA
70,WATER,NA,NA
71,CHERRY,256,319
71,CLINTON,NA,NA
71,EAST RIVER,NA,NA
71,JEFFERSON,NA,NA
71,NULL,514,565
71,PIER 34,NA,NA
71,PIERS,NA,NA
71,RUTGERS,NA,NA
71,RUTGERS SLIP,NA,NA
71,SOUTH,NA,NA
71,WATER,NA,NA
72,CHERRY,NA,NA
72,JEFFERSON,57,66
72,MONROE,120,146
72,RUTGERS,NA,NA
73,JEFFERSON,35,56
73,MADISON,201,224
73,MONROE,NA,NA
73,RUTGERS,NA,NA
74,HENRY,146,177
74,JEFFERSON,21,40
74,MADISON,201,224
74,RUTGERS,NA,NA
75,E BROADWAY,NA,NA
75,HENRY,146,177
75,JEFFERSON,6,20
75,RUTGERS,5,18
76,CANAL,NA,NA
76,CLINTON,191,194
76,DIVISION,NA,NA
76,E BROADWAY,NA,NA
76,JEFFERSON,1,6
76,NULL,NA,NA
76,RUTGERS,NA,NA
77,CLINTON,199,208
77,E BROADWAY,191,219
77,HENRY,178,207
77,JEFFERSON,6,20
78,CLINTON,209,217
78,HENRY,178,207
78,JEFFERSON,21,40
78,MADISON,226,258
79,CLINTON,218,232
79,JEFFERSON,35,56
79,MADISON,226,258
79,MONROE,1,28
80,CHERRY,NA,NA
80,CLINTON,231,251
80,JEFFERSON,NA,NA
80,MONROE,1,28
81,CLINTON,191,194
81,DIVISION,NA,NA
81,E BROADWAY,220,299
81,GOUVERNEUR,1,4
81,GRAND,NA,NA
81,MONTGOMERY,1,4
81,SCAMMEL,NA,NA
82,CLINTON,199,208
82,E BROADWAY,220,261
82,HENRY,208,249
82,MONTGOMERY,5,16
83,CLINTON,NA,NA
83,HENRY,208,249
83,MADISON,NA,NA
83,MONTGOMERY,17,34
84,CLINTON,NA,NA
84,MADISON,253,297
84,MONROE,NA,NA
84,MONTGOMERY,35,54
85,CHERRY,NA,NA
85,CLINTON,NA,NA
85,MONROE,148,183
85,MONTGOMERY,55,71
86,CHERRY,316,374
86,CLINTON,NA,NA
86,EAST RIVER,NA,NA
86,FRONT,NA,NA
86,FRONT ST,300,317
86,GOUVERNEUR,59,73
86,GOUVERNEUR SLIP,NA,NA
86,GOUVERNEUR W SLIP,NA,NA
86,MONTGOMERY,NA,NA
86,NULL,566,597
86,PIERS,NA,NA
86,SOUTH,NA,NA
86,WATER,NA,NA
87,CHERRY,375,385
87,EAST RIVER,NA,NA
87,FRONT,NA,NA
87,GOUVERNEUR,50,73
87,GOUVERNEUR E SLIP,NA,NA
87,GOUVERNEUR SLIP,NA,NA
87,GOUVERNEUR W SLIP,NA,NA
87,MONROE,214,223
87,PIERS,NA,NA
87,SCAMMEL,35,58
87,SOUTH,NA,NA
87,WATER,NA,NA
88,CHERRY,352,374
88,GOUVERNEUR,50,65
88,MONROE,184,213
88,MONTGOMERY,55,71
89,GOUVERNEUR,33,49
89,MADISON,292,319
89,MONROE,184,213
89,MONTGOMERY,35,54
90,GOUVERNEUR,33,49
90,MADISON,318,331
90,MONROE,214,223
90,SCAMMEL,25,36
91,GOUVERNEUR,19,32
91,HENRY,274,285
91,MADISON,318,331
91,SCAMMEL,7,24
92,GOUVERNEUR,19,32
92,HENRY,250,273
92,MADISON,292,319
92,MONTGOMERY,17,34
93,E BROADWAY,262,299
93,GOUVERNEUR,5,16
93,HENRY,250,285
93,MONTGOMERY,5,16
93,SCAMMEL,1,NA
94,E BROADWAY,NA,NA
94,GRAND,NA,NA
94,HENRY,287,336
94,SCAMMEL,NA,NA
95,HENRY,287,336
95,JACKSON,1,13
95,MADISON,330,382
95,SCAMMEL,7,24
96,JACKSON,14,27
96,MADISON,330,382
96,MONROE,NA,NA
96,SCAMMEL,NA,NA
97,CHERRY,NA,NA
97,JACKSON,28,44
97,MONROE,222,274
97,SCAMMEL,NA,NA
98,CHERRY,383,434
98,JACKSON,NA,NA
98,SCAMMEL,50,58
98,WATER,631,685
99,EAST GOUVERNEURS SLIP,NA,NA
99,EAST RIVER,NA,NA
99,FRONT,NA,NA
99,FRONT ST,325,388
99,JACKSON,NA,NA
99,JACKSON SLIP,NA,NA
99,PIERS,NA,NA
99,SOUTH,NA,NA
99,WATER,631,685
100,GRAND,542,574
100,HENRY,NA,NA
100,JACKSON,1,13
100,MADISON,386,414
101,CORLEARS,NA,NA
101,GRAND,NA,NA
101,JACKSON,14,27
101,MADISON,386,414
101,MONROE,NA,NA
101,NULL,1,9
102,CHERRY,NA,NA
102,CORLEARS,NA,NA
102,CORLEARS HOOK PARK,NA,NA
102,EAST,NA,NA
102,EAST RIVER,NA,NA
102,GRAND,605,622
102,JACKSON,NA,NA
102,MONROE,NA,NA
102,NULL,NA,NA
102,PIER 45,NA,NA
102,SOUTH,NA,NA
102,WATER,NA,NA
103,CHARLOTTE,NA,NA
103,CHARLTON,91,139
103,GREENWICH,551,NA
103,HUDSON,341,386
103,KING,95,149
103,NORTH RIVER,NA,NA
103,W HOUSTON,277,349
103,WASHINGTON,495,532
103,WEST,NA,NA
104,CHARLOTTE,NA,NA
104,CHARLTON,91,139
104,GREENWICH,515,NA
104,HUDSON,323,344
104,NORTH RIVER,NA,NA
104,SPRING,319,354
104,VANDAM,80,99
104,WASHINGTON,495,532
104,WEST,NA,NA
105,CANAL,NA,NA
105,GREENWICH,481,NA
105,HUDSON,299,322
105,NORTH RIVER,NA,NA
105,RENWICK,1,49
105,SPRING,293,354
105,VANDAM,80,99
105,WASHINGTON,477,494
105,WEST,NA,NA
106,CANAL,470,503
106,HUDSON,216,298
106,RENWICK,1,49
106,SPRING,293,306
106,WATTS,NA,NA
107,CONGRESS,NA,NA
107,KING,1,13
107,MAC DOUGAL,43,70
107,MACDOUGAL,NA,NA
107,W HOUSTON,NA,NA
108,CONGRESS,NA,NA
108,KING,14,64
108,VARICK,188,205
108,W HOUSTON,179,232
109,CHARLOTTE,NA,NA
109,CHARLTON,1,56
109,KING,1,64
109,MAC DOUGAL,29,56
109,MACDOUGAL,NA,NA
109,VARICK,171,187
110,CHARLOTTE,NA,NA
110,CHARLTON,57,90
110,HUDSON,341,386
110,KING,61,98
110,VARICK,171,205
110,W HOUSTON,242,276
111,CHARLOTTE,NA,NA
111,CHARLTON,57,90
111,DOMINICK,21,54
111,HUDSON,277,344
111,SPRING,258,292
111,VANDAM,44,79
111,VARICK,124,172
112,CHARLOTTE,NA,NA
112,CHARLTON,1,56
112,MACDOUGAL,15,34
112,VANDAM,1,45
112,VARICK,156,172
113,12 AVE,NA,NA
113,BROOME,540,562
113,CLARK,1,32
113,CLARKE,NA,NA
113,DOMINICK,1,20
113,MACDOUGAL,1,18
113,SPRING,222,259
113,VANDAM,1,45
113,VARICK,11,NA
114,BROOME,563,593
114,CANAL,428,485
114,DOMINICK,21,54
114,HUDSON,NA,NA
114,VARICK,11,NA
114,WATTS,73,108
115,BROOME,533,562
115,CANAL,417,427
115,GRAND,1,18
115,SULLIVAN,1,56
115,VARICK,NA,NA
115,WATTS,42,72
116,LUDLOW PL,127,148
116,MAC DOUGAL,29,70
116,MACDOUGAL,NA,NA
116,PRINCE,189,206
116,SULLIVAN,130,165
116,W HOUSTON,NA,NA
117,PRINCE,169,188
117,SULLIVAN,130,165
117,THOMPSON,121,160
117,W HOUSTON,107,128
118,PRINCE,148,168
118,THOMPSON,121,160
118,W BROADWAY,444,486
118,W HOUSTON,86,106
119,MACDOUGAL,1,34
119,PRINCE,189,206
119,SPRING,201,221
119,SULLIVAN,92,129
120,PRINCE,169,188
120,SPRING,181,200
120,SULLIVAN,92,129
120,THOMPSON,84,120
121,BROOME,517,539
121,CANAL,397,418
121,CLARK,1,32
121,CLARKE,NA,NA
121,GRAND,19,34
121,SPRING,201,230
121,SULLIVAN,1,91
121,THOMPSON,NA,NA
121,WATTS,25,40
122,BROOME,517,532
122,SPRING,181,200
122,SULLIVAN,57,91
122,THOMPSON,45,83
123,BROOME,484,518
123,PRINCE,127,168
123,SPRING,143,180
123,SULLIVAN,NA,NA
123,THOMPSON,45,120
123,W BROADWAY,367,486
123,W HOUSTON,62,85
123,WOOSTER,57,166
124,BROOME,484,518
124,CANAL,357,398
