OBJECTID,JoinID,Valid 1910,GeoCheck 1910,StreetModern,ST Name Alt 1910,HNYC Street Name 1910,Left Low 1910,Left High 1910,Right Low 1910,Right High 1910,ED Left 1910,ED Right 1910,Name
526,G00000266,1,1,KENMARE,NA,KENMARE,NA,NA,NA,NA,788,788,KENMARE
527,G00000267,1,1,W 124,NA,W 124,NA,NA,1,39,495,495,W 124
528,G00000268,1,1,E 123,NA,E 123,39,73,50,76,438,438,E 123
529,G00000269,1,1,E 94,NA,E 94,141,183,140,180,389,388,E 94
530,G00000270,1,1,E 71,NA,E 71,147,189,142,178,1146,1147,E 71
531,G00000271,1,1,SZOLD PL,NA,DRY DOCK,1,5,2,6,270,269,DRY DOCK
532,G00000272,1,1,PARK AVE,NA,PARK AVE,NA,NA,637,651,1138,1138,PARK AVE
534,G00000274,1,1,E 39,NA,E 39,1,21,2,22,1170,544,E 39
535,G00000275,1,1,IRVING PL,NA,IRVING PL,15,33,14,30,983,983,IRVING PL
536,G00000276,1,1,E 75,NA,E 75,NA,NA,NA,NA,1159,1159,E 75
537,G00000277,1,1,3 AVE,NA,3 AVE,1490,1506,1491,1507,384,373,3 AVE
538,G00000278,1,1,W 79,NA,W 79,234,270,235,271,1392,1747,W 79
539,G00000279,1,1,JACKSON,NA,JACKSON,NA,NA,47,63,102,98,JACKSON
540,G00000280,1,1,ALLEN,NA,ALLEN,89,109,88,110,208,211,ALLEN
541,G00000281,1,1,3 AVE,NA,3 AVE,224,240,225,243,981,971,3 AVE
542,G00020632,1,1,W 135,NA,W 135,500,518,501,523,711,1644,W 135
543,G00000283,1,1,W 120,NA,W 120,272,284,NA,NA,560,559,W 120
544,G00000284,1,1,W 154,NA,W 154,300,312,301,313,704,704,W 154
545,G00000285,1,1,E 25,NA,E 25,129,161,134,162,984,984,E 25
546,G00000286,1,1,SPRING,NA,SPRING,106,124,105,123,125,125,SPRING
547,G00000287,1,1,BROADWAY,NA,BROADWAY,NA,NA,NA,NA,675,675,BROADWAY
548,G00000288,1,1,MANHATTAN AVE,NA,MANHATTAN AVE,NA,NA,310,326,622,622,MANHATTAN AVE
549,G00000290,1,1,TRINITY PL,NA,TRINITY PL,94,102,95,101,4,4,TRINITY PL
550,G00000291,1,1,BROADWAY,NA,BROADWAY,NA,NA,3420,3438,705,1431,BROADWAY
551,G00000292,1,1,W 156,NA,W 156,600,626,601,627,1742,1742,W 156
552,G00000293,1,1,TUDOR CITY PL,NA,PROSPECT PL,46,68,45,67,1111,1111,PROSPECT PL
553,G00000294,1,1,BROADWAY,NA,BROADWAY,NA,NA,2300,2318,1395,1396,BROADWAY
554,G00000295,1,1,1 AVE,NA,1 AVE,1701,1719,1700,1716,369,274,1 AVE
555,G00000296,1,1,LUDLOW,NA,LUDLOW,NA,NA,NA,NA,214,216,LUDLOW
