OBJECTID,MN_STREET1880_FULL_STREE,MN_STREET1880_Y1880NAMESTREET,MN_STREET1880_Y1880LEFT_LOW,MN_STREET1880_Y1880LEFT_HIGH,MN_STREET1880_Y1880RIGHT_LOW,MN_STREET1880_Y1880RIGHT_HIGH,MN_STREET1880_JOINID,MN_STREET1880_Y1880NAMEALT,MN_STREET1880_MINUS_ED_ED,MN_STREET1880_PLUS_ED_ED
174,AVE B,AVE B,,,,,G00010174,,610,610
175,E  75 ST,E  75 ST,501,531,500,530,G00010175,,610,613
176,AVE B,AVE B,,,,,G00010176,,610,610
177,E  76 ST,E  76 ST,501,519,500,518,G00010177,,610,610
178,AVE B,AVE B,,,,,G00010178,,609,609
179,E  77 ST,E  77 ST,501,521,500,520,G00010179,,609,610
180,AVE B,AVE B,,,,,G00010180,,609,609
181,E  78 ST,E  78 ST,501,555,502,556,G00010181,,609,609
182,E  79 ST,E  79 ST,,,,,G00010182,,607,609
183,E  80 ST,E  80 ST,601,603,600,602,G00010183,,604,607
184,E  81 ST,E  81 ST,601,603,600,602,G00010184,,604,604
185,E  82 ST,E  82 ST,,,,,G00010185,,604,604
186,E  83 ST,E  83 ST,601,611,600,612,G00010186,,604,604
187,E  84 ST,E  84 ST,,,600,610,G00010187,,604,604
188,E  85 ST,E  85 ST,,,,,G00010188,,604,604
189,E  86 ST,E  86 ST,601,615,,,G00010189,,601,604
190,E 87 ST,E 87 ST,601,609,600,608,G00010190,,601,601
191,E  88 ST,E  88 ST,601,615,600,610,G00010191,,601,601
192,E  89 ST,E  89 ST,,,600,624,G00010192,,601,601
193,E  86 ST,E  86 ST,501,553,500,552,G00010193,,601,604
194,AVE B,AVE B,,,,,G00010194,,601,601
195,E  90 ST,E  90 ST,501,543,500,542,G00010195,,601,601
196,E  91 ST,E  91 ST,501,515,500,514,G00010196,,624,601
197,E  94 ST,E  94 ST,401,417,400,416,G00010197,,624,624
198,E  95 ST,E  95 ST,,,,,G00010198,,624,624
199,E  98 ST,E  98 ST,,,,,G00010199,,624,624
200,PLEASANT AVE ,PLEASANT AVE ,213,223,,,G00010200,,633,633
201,PLEASANT AVE ,PLEASANT AVE ,225,235,224,234,G00010201,,633,633
202,E  112 ST,E  112 ST,401,445,400,444,G00010202,,633,633
203,PLEASANT AVE ,PLEASANT AVE ,237,261,236,260,G00010203,,633,633
204,E  113 ST,E  113 ST,401,451,400,450,G00010204,,633,633
205,E  99 ST,E  99 ST,401,403,400,402,G00010205,,624,624
206,E  100 ST,E  100 ST,401,411,400,410,G00010206,,624,624
207,E  101 ST,E  101 ST,401,419,400,420,G00010207,,624,624
208,E  102 ST,E  102 ST,401,455,400,454,G00010208,,624,624
209,E  103 ST,E  103 ST,401,433,400,432,G00010209,,624,624
210,E  104 ST,E  104 ST,401,445,400,444,G00010210,,626,624
211,E  105 ST,E  105 ST,401,435,400,434,G00010211,,626,626
212,E  106 ST,E  106 ST,400,434,401,435,G00010212,,627,626
213,E  107 ST,E  107 ST,401,431,400,430,G00010213,,627,627
214,E  115 ST,E  115 ST,501,531,500,530,G00010214,,635,633
215,E  116 ST,E  116 ST,501,555,500,554,G00010215,,635,635
216,E  117 ST,E  117 ST,501,561,500,560,G00010216,,635,635
217,E 121 ST,E 121 ST,145,161,146,160,G00010217,,641,641
218,E 118 ST ,E 118 ST ,145,175,144,176,G00010218,,639,639
219,E  129 ST,E  129 ST,201,241,200,240,G00010219,,652,652
221,LEXINGTON AVE,LEXINGTON AVE,,,,,G00010221,,653,653
222,E  131 ST,E  131 ST,,,,,G00010222,,653,653
223,W  110 ST,W  110 ST,,,1,57,G00010223,,0,630
224,E  110 ST,E  110 ST,1,39,2,22,G00010224,,630,630
225,FIFTH AVE,FIFTH AVE,,,1601,1609,G00010225,,0,630
226,FIFTH AVE,FIFTH AVE,,,1611,1619,G00010226,,630,630
227,EXTERIOR ST,EXTERIOR ST,,,,,G00010227,,653,653
229,EXTERIOR ST,EXTERIOR ST,,,,,G00010229,,653,653
230,EXTERIOR ST,EXTERIOR ST,,,,,G00010230,,653,653
231,W  134 ST,W  134 ST,,,,,G00010231,,653,653
232,EXTERIOR ST,EXTERIOR ST,,,,,G00010232,,653,653
233,EXTERIOR ST,EXTERIOR ST,,,,,G00010233,,653,653
234,E 136 ST,E 136 ST,43,49,44,50,G00010234,,653,653
235,EXTERIOR ST,EXTERIOR ST,,,,,G00010235,,653,653
236,EXTERIOR ST,EXTERIOR ST,,,,,G00010236,,653,653
237,E  138 ST,E  138 ST,,,,,G00010237,,653,653
238,MADISON AVE,MADISON AVE,,,,,G00010238,,653,653
239,EXTERIOR ST,EXTERIOR ST,,,,,G00010239,,653,653
240,EXTERIOR ST,EXTERIOR ST,,,,,G00010240,,653,653
241,W  139 ST,W  139 ST,1,35,2,36,G00010241,,653,653
242,EXTERIOR ST,EXTERIOR ST,,,,,G00010242,,653,653
243,W  140 ST,W  140 ST,,,2,30,G00010243,,653,653
244,EXTERIOR ST,EXTERIOR ST,,,,,G00010244,,653,653
245,W  141 ST,W  141 ST,,,,,G00010245,,653,653
246,EXTERIOR ST,EXTERIOR ST,,,,,G00010246,,653,653
