Name,Full_Name,Name1880,AltName,Left_Low,Left_High,Right_Low,Right_High,ED_Minus,ED_Plus,ObjectID,JoinId
W 151,W 151,W 151,NA,200,288,201,233,536,536,8385,G00018385
7 AVE,7 AVE,7 AVE,NA,2576,2596,2577,2597,536,654,8386,G00018386
W 152,W 152,W 152,NA,200,234,201,235,536,536,8387,G00018387
W 111,W 111,W 111,NA,100,154,101,155,630,630,8388,G00018388
W 111,W 111,W 111,NA,200,240,201,241,536,536,8389,G00018389
W 112,W 112,W 112,NA,110,142,111,143,630,631,8390,G00018390
W 112,W 112,W 112,NA,200,262,201,263,536,536,8391,G00018391
W 113,W 113,W 113,NA,116,146,119,145,631,631,8392,G00018392
W 113,W 113,W 113,NA,200,282,201,283,536,536,8393,G00018393
W 114,W 114,W 114,NA,124,128,125,129,631,638,8394,G00018394
W 114,W 114,W 114,NA,200,246,201,281,536,536,8395,G00018395
W 115,W 115,W 115,NA,NA,NA,NA,NA,638,638,8396,G00018396
W 115,W 115,W 115,NA,200,282,201,283,536,536,8397,G00018397
NICHOLAS AVE,NICHOLAS AVE,NICHOLAS AVE,NA,NA,NA,96,110,638,638,8398,G00018398
NICHOLAS AVE,NICHOLAS AVE,NICHOLAS AVE,NA,NA,NA,NA,NA,536,638,8399,G00018399
W 116,W 116,W 116,NA,NA,NA,NA,NA,536,536,8400,G00018400
W 116,W 116,W 116,NA,101,147,102,164,638,638,8401,G00018401
W 117,W 117,W 117,NA,101,157,100,152,638,639,8402,G00018402
W 117,W 117,W 117,NA,200,202,201,203,536,536,8403,G00018403
W 119,W 119,W 119,NA,101,159,100,160,639,640,8404,G00018404
W 119,W 119,W 119,NA,200,210,201,211,536,536,8405,G00018405
W 120,W 120,W 120,NA,100,168,101,161,640,640,8406,G00018406
W 120,W 120,W 120,NA,200,238,201,239,536,536,8407,G00018407
W 121,W 121,W 121,NA,100,170,101,163,640,640,8408,G00018408
W 121,W 121,W 121,NA,200,268,201,269,536,536,8409,G00018409
W 122,W 122,W 122,NA,101,167,100,166,640,640,8410,G00018410
W 122,W 122,W 122,NA,200,266,201,265,536,536,8411,G00018411
W 123,W 123,W 123,NA,100,144,101,143,640,640,8412,G00018412
W 123,W 123,W 123,NA,200,270,201,265,536,536,8413,G00018413
W 124,W 124,W 124,NA,100,172,101,161,640,640,8414,G00018414
W 124,W 124,W 124,NA,200,266,201,267,536,536,8415,G00018415
W 125,W 125,W 125,NA,100,166,101,163,640,649,8416,G00018416
W 125,W 125,W 125,NA,200,278,201,277,536,536,8417,G00018417
W 126,W 126,W 126,NA,100,174,101,181,649,649,8418,G00018418
W 126,W 126,W 126,NA,200,276,201,275,536,536,8419,G00018419
W 127,W 127,W 127,NA,100,156,101,157,649,650,8420,G00018420
W 127,W 127,W 127,NA,200,276,201,275,536,536,8421,G00018421
W 128,W 128,W 128,NA,100,164,101,151,650,650,8422,G00018422
W 128,W 128,W 128,NA,200,276,201,275,536,536,8423,G00018423
W 129,W 129,W 129,NA,100,156,101,157,650,650,8424,G00018424
W 129,W 129,W 129,NA,200,276,201,275,536,536,8425,G00018425
W 130,W 130,W 130,NA,100,170,101,149,650,654,8426,G00018426
W 130,W 130,W 130,NA,200,276,201,275,536,536,8427,G00018427
W 131,W 131,W 131,NA,100,158,101,159,654,654,8428,G00018428
