ED,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59
157,Duck St,Eagle St,Freeman St,Greene St,Henry Pl,Henry St N,Holland St,Leyden St,Manhattan Ave,Oakland St,Paidge Ave,Provost St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,Emery St,Greene St,Greenpoint Ave,Henry St N,Huron St,India St,Java St,Kingsland Ave,Leyden St,Manhattan Ave,Oakland St,Paidge Ave,Provost St,Sutton St,Wallock St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,Greenpoint Ave,Henry St N,Java St,Kent St,Manhattan Ave,Monitor St,Moultrie St,Oakland St,Provost St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Calyer St,Charlick St,Diamond St,Eckford St,Front Pl,Greenpoint Ave,Henry St N,Humboldt St,Java St,Jewel St,Kingsland Ave,Leonard St,Manhattan Ave,Meserole Ave,Milton St,Monitor St,Morgan Ave,Moultrie St,Newell St,Noble St,Oakland St,Provost St,Russell St,Sutton St,Vail St,Wright St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,Apollo St,Bridgewater St,Charlick St,Diamond St,Eckford St,Front Pl,Hausman St,Henry St N,Humboldt St,Jewel St,Kingsland Ave,Leonard St,Manhattan Ave,Meserole Ave,Monitor St,Morgan Ave,Moultrie St,Newell St,Norman Ave,Oakland St,Pollock St,Russell St,Sutton St,Webster St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,4th St,Apollo St,Bridgewater St,Diamond St,Eckford St,Front Pl,Hausman St,Henry St N,Humboldt St,Jewel St,Kingsland Ave,Lake St,Leonard St,Manhattan Ave,Meeker Ave,Monitor St,Morgan Ave,Morse St,Moultrie St,Nassau Ave,Nassau Pl,Newell St,Norman Ave,Oakland St,Russell St,Stewart Ave,Sutton St,Vandam St,Varick Ave,Varick St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,Eagle St,Franklin St,Freeman St,Greene St,Manhattan Ave,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,Franklin St,Greene St,Huron St,India St,Manhattan Ave,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,Franklin St,India St,Java St,Kent St,Manhattan Ave,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,Franklin St,Greenpoint Ave,Kent St,Manhattan Ave,Milton St,Noble St,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,Banker St,Calyer St,Dobbin St,Franklin St,Guernsey St,Lorimer St,Manhattan Ave,Noble St,Oak St,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,14th St N,15th St N,1st St,2nd St,3rd St,4th St,Banker St,Calyer St,Dobbin St,Franklin St,Gem St,Guernsey St,Jane St,Lorimer St,Manhattan Ave,Meserole Ave,Nassau Ave,Norman Ave,Quay St,Van Cott Ave,West St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,Apollo St,Diamond St,Eckford St,Hausman St,Henry St N,Humboldt St,Jewel St,Kingsland Ave,Leonard St,Manhattan Ave,Meeker Ave,Monitor St,Morgan Ave,Nassau Ave,Nassau Pl,Newell St,Oakland St,Porter Ave,Russell St,Sutton St,Van Cott Ave,Vandam St,Vandervoort Ave,Varick Ave,Varick St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,Bayard St,Broome St,Diamond St,Eckford St,Ewen St,Graham Ave,Henry St N,Humboldt St,Jane St,Kingsland Ave,Leonard St,Meeker Ave,Monitor St,Morgan Ave,Newton St,Oakland St,Richardson St,Russell St,Sutton St,Van Cott Ave,Van Pelt Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,Amos  St,Amos St,Anthony St,Banzett St,Beadel St,Bennett St,Cherry St,Division Pl,Ewen St,Frost St,Gardner Ave,Graham Ave,Hausman St,Henry St N,Herbert St,Humboldt St,Kingsland Ave,Lombardy St,Meeker Ave,Monitor St,Morgan Ave,Porter Ave,Richardson St,Scott Ave,Stewart Ave,Sutton St,Thomas St,Townsend St,Van Cott Ave,Van Pelt Ave,Vandam St,Vandervoort Ave,Varick Ave,Varick St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,2nd St N,Banzett St,Bennett St,Benton St,Bullion St,Bushwick Ave,Conselyea St,Frost St,Gardner Ave,Humboldt St,Jackson St,Kingsland Ave,Maspeth Ave,Morgan Ave,Parker St,Porter Ave,Scott Ave,Seneca Ave,Skillman Ave,Stewart Ave,Vandervoort Ave,Varick Ave,Withers St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,2nd St N,Agate St,Ainslie St,Banzett St,Bushwick Ave,Calhoun St,Catharine St,Devoe St,Dickinson St,Gardner Ave,Grand St,Guilford St,Judge St,Kingsland Ave,LaGrange St,Maspeth Ave,Metropolitan Ave,Mill Pl,Mill St,Morgan Ave,Olive St,Orient Ave,Porter Ave,Powers St,Scott Ave,Seneca Ave,Sharon St,Spruce St,Stewart Ave,Vandervoort Ave,Varick Ave,Waterbury St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,Agate St,Boerum St,Bogart St,Bremen St,Bushwick Ave,Central Ave,Cook St,Covert Ave,Debevoise St,Evergreen Ave,Flushing Ave,Forrest St,Gardner Ave,George St,Grand St,Grattan St,Hamburg St,Harrison Pl,Ingraham St,Irving Ave,Johnson Ave,Knickerbocker Ave,LaGrange St,Maujer St,McKibbin St,Meadow St,Melrose St,Meserole St,Metropolitan Ave,Montrose Ave,Moore St,Morgan Ave,Morrell St,Old Bushwick Ave,Porter Ave,Prospect Way,Randolph St,Rock St,Scholes St,Scott Ave,Seigel St,Seneca Ave,Spruce St,St. Nicholas Ave,Stagg St,Stewart Ave,Ten Eyck St,Thames St,Vandervoort Ave,Varet St,Varick Ave,Waterbury St,White St,Wyckoff Ave,NA,NA,NA,NA,NA
175,Adams St E,Central Ave,Covert Ave,Cypress Ave,Evergreen Ave,Flushing Ave,Forrest St,George St,Hamburg St,Ingraham St,Irving Ave,Jefferson Pl,Johnson Ave,Knickerbocker Ave,Melrose St,Monteith St,Prospect Way,Randolph St,Rock St,Seneca Ave,St. Nicholas Ave,Thames St,Troutman St,Vandervoort Ave,Varick Ave,Wyckoff Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,Adams St E,Beaver St,Belvidere St,Bremen St,Broadway,Burr Pl,Bushwick Ave,Debevoise St,Ditmars St,Ellery St,Evergreen Ave,Fayette St,Floyd St,Flushing Ave,Forrest St,Garden St,George St,Humboldt St,Jefferson Pl,Locust St,Monteith St,Myrtle Ave,Myrtle St,Park Ave,Park St,Prospect Way,Stockton St,Stuyvesant Ave,Troutman St,Wall St,Yates Pl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,Broadway,Bushwick Ave,Cedar St,Central Ave,Cypress Ave,DeKalb Ave,Dodsworth St,Elm St,Evergreen Ave,Hamburg St,Hart St,Irving Ave,Knickerbocker Ave,Kosciusko St,Lawton St,Myrtle Ave,St. Nicholas Ave,Stanhope St,Stockholm St,Suydam St,Wyckoff Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,Broadway,Bushwick Ave,Central Ave,Charles Pl,Cypress Ave,Ditmars St,Evergreen Ave,Hamburg St,Irving Ave,Knickerbocker Ave,Myrtle Ave,Myrtle St,St. Nicholas Ave,Starr St,Stuyvesant Ave,Suydam St,Troutman St,Willoughby Ave,Wyckoff Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,Aberdeen St,Bainbridge St,Broadway,Bushwick Ave,Central Ave,Chauncey St,Conway St,Cooper St,Cornelia St,Covert St,Duryea St,Eldert St,Evergreen Ave,Fairfax St,Furman Ave,Granite St,Hamburg St,Hancock St,Hopkinson Ave,Hull Pl,Irving Ave,Ivy St,Jacob St,Jefferson St,Knickerbocker Ave,Margaretta St,Marion St,Moffat St,Pilling St,Putnam Ave,Saratoga Ave,Schaeffer St,Stewart St,Stone Ave,Sumpter St,Van Voorhis St,Vanderveer St,Vigelius St,Weirfield St,Woodbine St,Wyckoff Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,Bleecker St,Broadway,Bushwick Ave,Central Ave,Central Pl,Evergreen Ave,Gates Ave,Greene Ave,Grove St,Hamburg St,Harman St,Himrod St,Irving Ave,Knickerbocker Ave,Kosciusko St,Kossuth Pl,Lafayette Ave,Linden St,Magnolia St,Myrtle Ave,Palmetto St,Ralph Ave,Ralph St,St. Nicholas Ave,Stanhope St,Stockholm St,Van Buren St,Woodbine St,Wyckoff Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,Bartlett St,Broadway,Cook St,Delmonico Pl,Flushing Ave,Gerry St,Graham Ave,Harrison Ave,Leonard St,Marcy Ave,Moore St,Thornton St,Throop Ave,Tompkins Ave,Wallabout St,Whipple St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,Bedford Ave,Broadway,Flushing Ave,Gerry St,Gwinnett St,Harrison Ave,Lee Ave,Lorimer St,Lynch St,Marcy Ave,Middleton St,Moore St,Nostrand Ave,Sandford St,Seigel St,Spencer St,Throop Ave,Wallabout St,Walton St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,Bedford Ave,Boerum St,Broadway,Flushing Ave,Franklin Ave,Harrison Ave,Heyward St,Lee Ave,Lynch St,Marcy Ave,McKibbin St,Middleton St,Rutledge St,Skillman St,Throop Ave,Wallabout St,Wythe Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,12th St,Bedford Ave,Broadway,Harrison Ave,Hewes St,Lee Ave,Marcy Ave,Penn St,Rutledge St,Wythe Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,10th St,11th St,Bedford Ave,Broadway,Division Ave,Harrison Ave,Hewes St,Hooper St,Keap St,Lee Ave,Marcy Ave,Penn St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,10th St,8th St,9th St,9th St S,Bedford Ave,Division Ave,Keap St,Lee Ave,Marcy Ave,Rodney St,Ross St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,5th St,6th St,7th St,8th St,9th St S,Bedford Ave,Clymer St,Division Ave,Lee Ave,Marcy Ave,Ross St,Taylor St,Wilson St,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,10th St S,11th St S,2nd St,3rd St,4th St,5th St,9th St S,Bedford Ave,Clymer St,Division Ave,Lee Ave,Morton St,Rush St,Taylor St,Wythe Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,Bedford Ave,Hewes St,Hooper St,Keap St,Rodney St,Ross St,Wilson St,Wythe Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,Adelphi St,Canal,Carlton Ave,Clason Ave,Clermont Ave,Clymer St,Cross St,Cumberland St,Flushing Ave,Franklin Ave,Graham St,Grand Ave,Hewes St,Heyward St,Hooper St,Keap St,Kent Ave,Oxford St N,Penn St,Portland Ave N,Rodney St,Ross St,Rutledge St,Ryerson St,Taylor St,Vanderbilt Ave,Waalbocht Pl,Wallabout St,Washington Ave,Williamsburgh Rd,Wilson St,Wythe Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,11th St S,1st St,2nd St,Bedford Ave,Clymer St,Cross St,Division Ave,Kent Ave,Morton St,Rush St,Taylor St,Wilson St,Wythe Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,Auburn Pl,Cumberland St,Flushing Ave,Myrtle Ave,Oxford St N,Park Ave,Portland Ave N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,Carlton Ave,Cumberland St,Flushing Ave,Myrtle Ave,Park Ave,Willoughby Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,Adelphi St,Carlton Ave,Flushing Ave,Myrtle Ave,Park Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,Adelphi St,Clermont Ave,Flushing Ave,Myrtle Ave,Park Ave,Willoughby Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,Clermont Ave,Flushing Ave,Myrtle Ave,Park Ave,Vanderbilt Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,Clinton Ave,Flushing Ave,Myrtle Ave,Park Ave,Vanderbilt Ave,Washington Ave,Waverly Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,Clermont Ave,Clinton Ave,DeKalb Ave,Myrtle Ave,Vanderbilt Ave,Washington Ave,Waverly Ave,Willoughby Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,Adelphi St,Carlton Ave,Clermont Ave,Cumberland St,DeKalb Ave,Willoughby Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,Adelphi St,Carlton Ave,Clermont Ave,Clinton Ave,Cumberland St,DeKalb Ave,Lafayette Ave,Vanderbilt Ave,Washington Ave,Waverly Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,6th Ave,Atlantic Ave,Cumberland St,DeKalb Ave,Fulton St,Hanson Pl,Lafayette Ave,Oxford St S,Portland Ave S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,Atlantic Ave,Carlton Ave,Cumberland St,Fulton St,Greene Ave,Hanson Pl,Lafayette Ave,Oxford St S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,Adelphi St,Atlantic Ave,Carlton Ave,Clermont Ave,Cumberland St,Fulton St,Greene Ave,Lafayette Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,Adelphi St,Atlantic Ave,Clermont Ave,Clinton Ave,Fulton St,Gates Ave,Underhill Ave,Vanderbilt Ave,Washington Ave,Waverly Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,Clermont Ave,Clinton Ave,Fulton St,Gates Ave,Greene Ave,Lafayette Ave,Vanderbilt Ave,Washington Ave,Waverly Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,Broadway,DeKalb Ave,Ditmars St,Dodsworth St,Hart St,Jefferson Pl,Lawton St,Lewis Ave,Myrtle Ave,Pulaski St,Reid Ave,Stockton St,Stuyvesant Ave,Vernon Ave,Willoughby Ave,Yates Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,Broadway,DeKalb Ave,Kosciusko St,Lafayette Ave,Lewis Ave,Patchen Ave,Reid Ave,Stuyvesant Ave,Yates Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,Lewis Ave,Myrtle Ave,Stockton St,Throop Ave,Tompkins Ave,Vernon Ave,Willoughby Ave,Yates Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,DeKalb Ave,Hart St,Kosciusko St,Lafayette Ave,Lewis Ave,Pulaski St,Throop Ave,Tompkins Ave,Willoughby Ave,Yates Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,DeKalb Ave,Hart St,Marcy Ave,Nostrand Ave,Pulaski St,Tompkins Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,Bedford Ave,DeKalb Ave,Kosciusko St,Lafayette Ave,Marcy Ave,Nostrand Ave,Spencer St,Tompkins Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,Bedford Ave,Marcy Ave,Myrtle Ave,Nostrand Ave,Sandford St,Spencer St,Tompkins Ave,Vernon Ave,Walworth St,Willoughby Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,Bedford Ave,DeKalb Ave,Hart St,Marcy Ave,Nostrand Ave,Pulaski St,Sandford St,Spencer St,Tompkins Ave,Walworth St,Willoughby Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
