ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59
240,ATLANTIC AVE,BEDFORD AVE,BEDFORD AVE S,BERGEN,BUTLER,CARROLL,CROWN,DEAN,DEGRAW,DOUGLASS,FRANKLIN AVE,MONTGOMERY,NOSTRAND AVE,OLD CLOVE,PACIFIC,PARK PL,PARK WAY,PRESIDENT,PROSPECT PL,ROGERS AVE,. MARKS AVE,UNION,WARREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,ALBANY AVE,ATLANTIC AVE,BERGEN,BROOKLYN AVE,BUTLER,CARROLL,CROWN,DEAN,DEGRAW,DOUGLASS,KINGSTON AVE,MALBONE,MONTGOMERY,PACIFIC,PARK PL,PARK WAY,PRESIDENT,PROSPECT PL,SCHENECTADY AVE,. MARKS AVE,TROY AVE,UNION,WARREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,ATLANTIC AVE,BERGEN,BUFFALO AVE,BUTLER,CARROLL,CROWN,DEAN,DEGRAW,DOUGLASS,HOPKINSON AVE,HOWARD AVE,PACIFIC,PARK PL,PARK WAY,PRESIDENT,RALPH AVE,ROCHESTER AVE,ROCKAWAY AVE,SARATOGA AVE,SCHENECTADY AVE,. MARKS AVE,STONE AVE,UNION,UTICA AVE,WARREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,GATES AVE,GREENE AVE,JEFFERSON,LAFAYETTE AVE,LEXINGTON AVE,MADISON,MONROE,PUTNAM AVE,QUINCY,REID AVE,STUYVESANT AVE,VAN BUREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,GATES AVE,GREENE AVE,HALSEY,HANCOCK,JEFFERSON,LAFAYETTE AVE,LEWIS AVE,LEXINGTON AVE,MADISON,MONROE,PUTNAM AVE,QUINCY,STUYVESANT AVE,VAN BUREN,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,ALBANY AVE,ATLANTIC AVE,BAINBRIDGE,CHAUNCEY,DECATUR,FULTON,HALSEY,HERKIMER,LEWIS AVE,MACON,MCDONOUGH,SCHENECTADY AVE,STUYVESANT AVE,TROY AVE,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,BAINBRIDGE,DECATUR,HALSEY,HANCOCK,JEFFERSON,MACON,MADISON,MCDONOUGH,PATCHEN AVE,PUTNAM AVE,REID AVE,STUYVESANT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,ATLANTIC AVE,BAINBRIDGE,BUFFALO AVE,CHAUNCEY,FELLOWS PL,FULTON,HERKIMER,HUNTERFLY RD,MARION,PATCHEN AVE,REID AVE,ROCHESTER AVE,SCHENECTADY AVE,STUYVESANT AVE,SUMPTER,SUYDAM PL,UTICA AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,BROADWAY,GATES AVE,GREENE AVE,LAFAYETTE AVE,LEXINGTON AVE,MADISON,MONROE,PATCHEN AVE,QUINCY,RALPH AVE,REID AVE,VAN BUREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,BAINBRIDGE,BUFFALO AVE,CHAUNCEY,DECATUR,FULTON,HALSEY,HANCOCK,JEFFERSON,MACON,MADISON,MARION,MCDONOUGH,MCDOUGAL,PATCHEN AVE,PUTNAM AVE,RALPH AVE,SUMPTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,ABERDEEN,ATLANTIC AVE,BAINBRIDGE,BANCROFT PL,BROADWAY,BUFFALO AVE,CHAUNCEY,COLUMBUS PL,COOPER PL,COVERT,DECATUR,ELDERT,FULTON,GATES AVE,GUNTHER PL,HALSEY,HANCOCK,HERKIMER,HOPKINSON AVE,HOWARD AVE,HULL PL,HULL,IVY,JACOB,JEFFERSON,KANE PL,LINDEN,LOUIS PL,MACON,MADISON,MAGNOLIA,MARGARETTA,MARION,MCDONOUGH,MCDOUGAL,MONROE,OCEAN PL,OLIVE PL,PALMETTO,PLEASANT PL,PRESCOTT PL,PUTNAM AVE,QUINCY,RADDE PL,RALPH AVE,ROCKAWAY AVE,RUSSELL PL,SACKMAN,SARATOGA AVE,SCHAEFFER,SOMERS,STEWART,STONE AVE,SUMPTER,TRUXTON,VAN VOORHIS,VANDERVEER,VIGELIUS,WOODBINE
