Ward,JoinId,Name,Full_Name,Name1850,AltName,Left_Low,Left_High,Right_Low,Right_High,ObjectID,source,flag
9,G00001004,NA,BERGEN,NA,NA,NA,NA,NA,NA,1012,geo,IN
6,G00001012,NA,VERONA,NA,NA,NA,NA,NA,NA,1020,geo,IN
9,G00001019,NA,BERGEN,NA,NA,NA,NA,NA,NA,1027,geo,IN
7,G00001030,NA,BEDFORD AVE,NA,NA,NA,NA,NA,NA,1038,geo,IN
9,G00001036,NA,SAINT JOHNS PL,NA,NA,NA,NA,NA,NA,1044,geo,IN
3,G00001047,NA,HENRY,NA,NA,NA,NA,NA,NA,1055,geo,IN
9,G00001053,NA,BERGEN,NA,NA,NA,NA,NA,NA,1061,geo,IN
1,G00001059,NA,ORANGE,NA,NA,NA,NA,NA,NA,1067,geo,IN
6,G00001062,NA,DE GRAW,NA,NA,NA,NA,NA,NA,1070,geo,IN
9,G00001069,NA,UTICA AVE,NA,NA,NA,NA,NA,NA,1077,geo,IN
7,G00001083,NA,RODNEY,NA,NA,NA,NA,NA,NA,1091,geo,IN
9,G00001084,NA,CROWN,NA,NA,NA,NA,NA,NA,1092,geo,IN
10,G00001086,NA,SCHERMERHORN,NA,NA,NA,NA,NA,NA,1094,geo,IN
9,G00001087,NA,SAINT MARKS AVE,NA,NA,NA,NA,NA,NA,1095,geo,IN
9,G00001100,NA,PRESIDENT,NA,NA,NA,NA,NA,NA,1108,geo,IN
7,G00001104,NA,SKILLMAN,NA,NA,NA,NA,NA,NA,1112,geo,IN
11,G00001110,NA,CUMBERLAND,NA,NA,NA,NA,NA,NA,1118,geo,IN
9,G00001126,NA,DE KALB AVE,NA,NA,NA,NA,NA,NA,1134,geo,IN
9,G00001137,NA,FULTON,NA,NA,NA,NA,NA,NA,1145,geo,IN
8,G00001142,NA,24,NA,NA,NA,NA,NA,NA,1150,geo,IN
9,G00001153,NA,PUTNAM AVE,NA,NA,NA,NA,NA,NA,1161,geo,IN
