Name,Name1850,AltName,Ward_Left,Left_Low,Left_High,Right_Low,Right_High,ObjectID,JoinId,Full_Name,Ward_Right
5 AVE,5 AVE,NA,18,NA,NA,NA,NA,374,G00000110,NA,18
W 29,W 29,NA,16,56,116,55,117,375,G00000111,NA,16
GROVE,GROVE,NA,9,49,75,48,76,381,G00000118,NA,9
E 84,E 84,NA,19,NA,NA,NA,NA,382,G00000119,NA,19
C W P,C W P,NA,19,NA,NA,NA,NA,383,G00000120,NA,19
PARK ROW,PARK ROW,NA,6,64,108,69,119,384,G00000121,CHATHAM,4
WASHINGTON E SQ,WASHINGTON E SQ,NA,15,NA,NA,1,3,385,G00000122,WOOSTER,15
CENTRE,CENTRE,NA,6,1,11,2,12,386,G00000123,NA,6
3 AVE,3 AVE,NA,19,746,764,745,763,387,G00000124,NA,19
VESTRY,VESTRY,NA,5,49,57,50,58,388,G00000125,NA,5
3 AVE,3 AVE,NA,19,596,610,593,609,391,G00000128,NA,19
W 35,W 35,NA,16,66,72,67,73,392,G00000129,NA,16
W 73,W 73,NA,19,NA,NA,NA,NA,393,G00000130,NA,19
WATER,WATER,NA,1,98,116,97,117,395,G00000132,NA,1
E 37,E 37,NA,18,113,153,112,154,398,G00000135,NA,18
AMSTERDAM AVE,AMSTERDAM AVE,NA,12,NA,NA,NA,NA,400,G00000138,NA,12
W LITTLE 12,W LITTLE 12,NA,9,6,28,5,27,403,G00000141,NA,9
3 AVE,3 AVE,NA,18,448,466,457,473,404,G00000142,NA,18
THOMPSON,THOMPSON,NA,8,1,19,2,18,406,G00000144,NA,8
WILLIAM,WILLIAM,NA,2,143,155,142,154,411,G00000149,NA,2
11 AVE,11 AVE,NA,19,601,617,600,616,413,G00000151,NA,19
E 15,E 15,NA,18,88,110,89,111,415,G00000153,NA,18
E 8,E 8,NA,11,343,391,342,390,417,G00000155,NA,11
E 46,E 46,NA,19,398,400,397,399,418,G00000156,NA,19
W 87,W 87,NA,12,NA,NA,NA,NA,419,G00000157,NA,12
BROADWAY,BROADWAY,NA,19,1229,1257,1238,1256,420,G00000158,NA,19
E 30,E 30,NA,18,83,109,84,110,421,G00000159,NA,18
E HOUSTON,E HOUSTON,NA,11,NA,NA,91,101,422,G00000160,NA,11
11 AVE,11 AVE,NA,19,491,501,492,502,423,G00000161,NA,19
WATER,WATER,NA,2,202,222,203,221,424,G00000162,NA,2
STANTON,STANTON,NA,11,186,200,187,201,425,G00000163,NA,11
5 AVE,5 AVE,NA,18,116,128,117,127,426,G00000164,NA,18
FLETCHER,FLETCHER,NA,2,30,46,29,45,427,G00000165,NA,2
SULLIVAN,SULLIVAN,NA,15,166,204,167,205,429,G00000167,NA,15
THOMPSON,THOMPSON,NA,8,51,81,46,80,430,G00000168,NA,8
PEARL,PEARL,NA,1,55,73,54,70,431,G00000169,NA,1
DOYERS,DOYERS,NA,6,2,18,1,19,432,G00000170,NA,6
