OBJECTID,MN_STREET1850_FULL_STREE,MN_STREET1850_Y1850NAMESTREET,MN_STREET1850_Y1850LEFT_LOW,MN_STREET1850_Y1850LEFT_HIGH,MN_STREET1850_Y1850RIGHT_LOW,MN_STREET1850_Y1850RIGHT_HIGH,MN_STREET1850_JOINID,MN_STREET1850_Y1850NAMEALT,Ward_Right_1850,Ward Left 1850
5645,,W 14 ST,66,126,65,119,G00005531,,16,9
5648,,WASHINGTON ST,98,118,99,121,G00005534,,1,1
5649,,E TENTH ST,189,241,190,242,G00005535,,17,17
5650,,W 45 ST,300,360,301,363,G00005536,,19,19
5652,,W 45 ST,81,141,72,132,G00005538,,19,19
5653,,2 AVE,451,467,446,462,G00005539,,18,18
5654,TENTH AVE ,AMSTERDAM AVE,,,,,G00005540,,12,12
5656,,ALLEN ST,41,67,40,66,G00005542,,10,10
5657,,FIRST AVE,,,,,G00005543,,19,19
5658,,2 AVE,347,365,352,364,G00005544,,18,18
5660,,9 AVE,93,105,94,106,G00005546,,16,16
5661,,E 40 ST,91,121,92,128,G00005547,,18,19
5663,,E 99 ST,,,,,G00005549,,12,12
5665,,E 12 ST,63,101,72,100,G00005551,,17,17
5666,,2 AVE,,,,,G00005552,,12,12
5669,,HUDSON ST,71,81,72,80,G00005555,,5,5
5670,,3 AVE,382,394,387,399,G00005556,,18,18
5671,,E 88 ST,,,,,G00005557,,12,12
5673,,3 AVE,,,,,G00005559,,12,12
5676,,GROVE ST,,,,,G00005562,,9,9
5678,,CANAL ST,85,97,92,104,G00005564,,8,5
5679,,WALKER ST,78,94,79,93,G00005565,,6,6
5680,,FIFTH AVE,,,,,G00005566,,19,19
5681,,W 126 ST,,,,,G00005567,,12,12
5683,,E 13 ST,211,257,212,258,G00005569,,17,17
5684,,E 20 ST,2,16,1,15,G00005570,,18,18
5687,,CHERRY ST,248,276,249,277,G00005573,,7,7
5688,,LIBERTY PL,2,12,1,11,G00005574,,2,2
5690,,E 93 ST,,,,,G00005576,,12,12
5691,,TENTH AVE,,,,,G00005577,,19,19
5695,,DUANE ST,,,163,169,G00005581,,5,5
5696,,E 120 ST,,,,,G00005582,,12,12
5698,,W 23 ST,66,128,67,127,G00005584,,16,16
5699,,W BROADWAY,34,48,31,49,G00005585,,5,5
5701,,LAIGHT ST,57,67,56,68,G00005587,,5,5
5702,,W 17 ST,202,262,203,263,G00005588,,16,16
5705,,E 116 ST,,,,,G00005591,,12,12
5706,,W 141 ST,,,,,G00005592,,12,12
5707,BLOOMINGDALE RD,BROADWAY,,,,,G00005593,,19,19
5709,,YORK AVE,,,,,G00005595,,19,19
5710,,MADISON AVE,,,,,G00005596,,19,19
5712,,W 23 ST,194,256,193,247,G00005598,,16,16
5716,,TENTH AVE,455,469,456,470,G00005602,,16,16
5717,,HUBERT ST,20,32,19,33,G00005603,,5,5
5718,,E 41 ST,1,17,2,18,G00005604,,19,19
5719,,FIRST AVE,331,347,302,356,G00005605,,18,18
5720,,2 AVE,583,607,590,608,G00005606,,18,18
5721,,2 AVE,,,,,G00005607,,19,19
5722,,HUDSON ST,363,385,366,384,G00005608,,8,8
5723,,W 150 ST,,,,,G00005609,,12,12
5725,,ELEVENTH AVE,583,599,582,598,G00005611,,19,19
5726,,BOWERY,286,304,285,303,G00005612,,17,15
5727,,W 34 ST,312,326,307,315,G00005613,,16,16
5729,,9 AVE,1,7,,,G00005615,,9,9
5732,,E TENTH ST,171,179,170,180,G00005619,,17,17
5736,,W 44 ST,306,364,313,357,G00005623,,19,19
5738,,CEDAR ST,2,38,1,39,G00005625,,1,1
5739,,W HOUSTON ST,572,590,571,589,G00005626,,15,8
5740,,E 128 ST,,,,,G00005627,,12,12
5741,,E 4 ST,621,677,622,678,G00005628,,11,11
5744,,2 AVE,,,,,G00005631,,19,19
5746,,FIFTH AVE,310,328,311,329,G00005633,,18,18
5747,,SOUTH ST,203,218,,,G00005634,,7,7
5748,,PERRY ST,100,108,99,109,G00005635,,9,9
5749,,W 34 ST,14,16,67,69,G00005636,,16,16
5753,,CHAMBERS ST,136,170,137,171,G00005640,,3,3
5754,,PARK AVE,538,556,,,G00005642,,18,18
5755,ABINGDON PL,W 12 ST,16,28,,,G00005643,,9,9
5756,,FIRST AVE,,,,,G00005644,,19,19
5758,,GREENWICH ST,272,284,273,285,G00005646,,3,3
5759,,ESPLANADE GD PLZ,,,,,G00005647,,12,12
5760,,COLUMBUS AVE,,,,,G00005648,,19,19
5762,,E 31 ST,51,81,40,76,G00005651,,18,18
5763,,E 124 ST,,,,,G00005652,,12,12
5764,,W 64 ST,,,,,G00005653,,19,19
5765,,SAINT MARK'S PL,85,107,86,106,G00005654,,17,17
5766,,LEX AVE,50,68,51,67,G00005655,,18,18
5767,,BROOME ST,227,241,228,242,G00005656,,10,10
5768,,W BROADWAY,84,98,81,97,G00005657,,5,5
5770,,ELDRIDGE ST,57,83,56,80,G00005659,,10,10
5771,,2 AVE,,,,,G00005660,,12,12
5772,,PINE ST,78,84,79,83,G00005661,,1,1
5774,,FIFTH AVE,366,378,367,377,G00005663,,18,18
5775,,GREENWICH ST,428,442,429,441,G00005664,,5,5
5777,,W 127 ST,,,,,G00005666,,12,12
5778,,FIFTH AVE,,,,,G00005667,,19,19
5779,,ELEVENTH AVE,1,37,2,38,G00005668,,None,None
5780,,CATHERINE ST,25,41,30,48,G00005669,,4,7
5781,,6 AVE,803,823,802,806,G00005670,,19,19
5782,,W 132 ST,,,,,G00005671,,12,12
5783,,HESTER ST,50,64,49,63,G00005672,,10,10
5784,,6 AVE,521,533,520,536,G00005673,,18,16
5785,,E 110 ST,,,,,G00005674,,12,12
5787,,BROADWAY,611,641,610,640,G00005677,,15,15
5789,,PARK AVE S,406,418,407,415,G00005680,,18,18
5791,,N MOORE ST,50,78,49,77,G00005682,,5,5
5792,,C P W,,,,,G00005683,,19,19
5795,TENTH AVE ,AMSTERDAM AVE,,,,,G00005686,,12,12
5799,,E SECOND ST,260,298,259,297,G00005690,,11,11
5800,,AMSTERDAM AVE,,,,,G00005691,,19,19
5802,,SAINT NICHOLAS AVE,,,,,G00005693,,12,12
5805,,W 27 ST,112,170,111,167,G00005696,,16,16
5807,,W 94 ST,,,,,G00005698,,12,12
5808,,GRAND ST,272,288,271,289,G00005699,,10,10
5811,,F DOUGLAS BLVD,,,,,G00005702,,12,12
5813,,E 4 ST,525,573,526,574,G00005704,,17,17
5814,,2 AVE,,,,,G00005705,,19,19
5815,,E SIXTH ST,10,36,11,39,G00005706,,17,17
5816,,A AVE,175,189,172,186,G00005707,,17,17
5818,,W 21 ST,120,186,119,185,G00005709,,16,16
